sample_id,brand,material_type,image_url,split
MS-0023,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/69/f5/ae98dbc6a92eb63a59ef571565e7c7adad34.jpg,train
MS-0024,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/28/c1/5dc7110a5318da395429c92ff89be6cb0104.jpg,test
MS-0025,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/09/f3/0c385b63a8252619cb0f33f6b93c2ed0038e.jpg,train
MS-0026,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/17/7b/dacfffc0dd5197b08491a67cd2faa326c318.jpg,train
MS-0027,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/88/2f/1e46c7727c87b7974f0dbe7f1f493540919d.jpg,train
MS-0028,皇家,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/f0/1c/2856fb6fe479aa17fdafbd2dce7182d6626b.jpg,train
MS-0029,皇家,灯箱,https://static.51dh.com.cn/meisu/51/42/caf84c5b6dbea66d8a884e8cbb2ca883a05c.jpg,test
MS-0030,皇家,灯箱,https://static.51dh.com.cn/meisu/05/09/b501f8c4d4e3bee8c23a42fb289896a5fa78.jpg,train
MS-0031,皇家,灯箱,https://static.51dh.com.cn/meisu/50/cc/181cc05b0cf0c6e822ed06d6b771c3466c68.jpg,train
MS-0032,皇家,灯箱,https://static.51dh.com.cn/meisu/3b/3e/e0830be63242664b11950458004ef44bcdc0.jpg,train
MS-0033,皇家,灯箱,https://static.51dh.com.cn/meisu/c6/56/4438b211439dc6d5dff4bf8982acf2c99d54.jpg,train
MS-0034,皇家,灯箱,https://static.51dh.com.cn/meisu/0f/ed/5c0ebd9966962275ebe95c70e9d41214d9df.jpg,test
MS-0035,皇家,灯箱,https://static.51dh.com.cn/meisu/88/2a/d589882a825d01d7b20edcf0b79606b3ac1d.jpg,train
MS-0036,皇家,灯箱,https://static.51dh.com.cn/meisu/2c/77/6aecce882297105d5b31856342cf2ee29946.jpg,test
MS-0037,皇家,灯箱,https://static.51dh.com.cn/meisu/82/0e/f70afec5afbb73c18f85b87b4665cfc4a9fe.jpg,train
MS-0038,皇家,灯箱,https://static.51dh.com.cn/meisu/4b/3b/f311d3a49c0dbee902d6fd1645742f2ee6e8.jpg,train
MS-0039,皇家,灯箱,https://static.51dh.com.cn/meisu/5a/54/a05d34d44e24fba0b356de7a58d93ad5f498.jpg,train
MS-0040,皇家,灯箱,https://static.51dh.com.cn/meisu/aa/24/fa24a3e1c4d30dd3c2c8faf9eed2449864df.jpg,train
MS-0041,皇家,灯箱,https://static.51dh.com.cn/meisu/17/73/4408a569db382e0cee2799bf94030c37477e.jpg,train
MS-0042,皇家,灯箱,https://static.51dh.com.cn/meisu/25/df/7c1e69c7c83b331a5bb12babe87d729033ba.jpg,test
MS-0043,皇家,灯箱,https://static.51dh.com.cn/meisu/ed/91/aa20bf604abb1d67a51a9e363f367cf4e0fb.jpg,train
MS-0044,皇家,灯箱,https://static.51dh.com.cn/meisu/a9/42/2b212b10a6d72421152a5da7969bbcd52924.jpg,train
MS-0045,皇家,灯箱,https://static.51dh.com.cn/meisu/0c/38/71259e05fe1d0e41c3f9482cddd7a96c9554.jpg,train
MS-0046,皇家,灯箱,https://static.51dh.com.cn/meisu/f8/76/b8e9e1c9541200966720d7c41559dfbe5c1a.jpg,train
MS-0047,皇家,灯箱,https://static.51dh.com.cn/meisu/0f/7e/5fd127aae064d5f4799d2ae7e08bd05ae824.jpg,train
MS-0048,皇家,灯箱,https://static.51dh.com.cn/meisu/cf/8f/3f38c4691cc3c4cfb266bb570452db65507d.jpg,test
MS-0049,皇家,灯箱,https://static.51dh.com.cn/meisu/c3/aa/fc25c45dc949300d40aedb696ce3e749bb06.jpg,train
MS-0050,皇家,灯箱,https://static.51dh.com.cn/meisu/f7/37/f13ec1ca7e91c8129864e62e90bea633447e.jpg,test
MS-0051,皇家,灯箱,https://static.51dh.com.cn/meisu/50/d2/706fce0e61f399b5d9d6127c31bd4dbb7dce.jpg,train
MS-0052,皇家,灯箱,https://static.51dh.com.cn/meisu/6a/17/2b86b2af8cc134499366f49ef765ca72ffe8.jpg,train
MS-0053,皇家,灯箱,https://static.51dh.com.cn/meisu/ac/5d/6e211ea9991b962e4fb8f20362bd3198a1f4.jpg,train
MS-0054,皇家,灯箱,https://static.51dh.com.cn/meisu/f1/e6/d0facf9349cfa32c6c68f0288c7119aacefb.jpg,train
MS-0055,皇家,灯箱,https://static.51dh.com.cn/meisu/ef/6c/5301e3f13ba429b97efc3dc0f9094ec1fa6b.jpg,train
MS-0056,皇家,灯箱,https://static.51dh.com.cn/meisu/fc/66/570f92b46f2e31477b347a54a8b6788138a4.jpg,train
MS-0057,皇家,灯箱,https://static.51dh.com.cn/meisu/e1/00/fcab9802f3df61ab7482617793e2ab3f249e.jpg,train
MS-0058,皇家,灯箱,https://static.51dh.com.cn/meisu/95/b3/105893dab047ea54284955dfd3dbe39059d6.jpg,test
MS-0059,皇家,灯箱,https://static.51dh.com.cn/meisu/97/1d/2808eacbe7672ce9d0adff7fda4c834e7a11.jpg,train
MS-0060,皇家,灯箱,https://static.51dh.com.cn/meisu/33/9d/4e20c3308ef7857eb9f348d2022c93106512.jpg,train
MS-0061,皇家,灯箱,https://static.51dh.com.cn/meisu/ca/bc/016b93d7ea0807f7c87b17535b30881c0d4c.jpg,train
MS-0062,皇家,灯箱,https://static.51dh.com.cn/meisu/f4/8e/9eedd19cb88498ef13ee8708100889fe078c.jpg,train
MS-0063,皇家,灯箱,https://static.51dh.com.cn/meisu/92/c2/2002d6a2eb18c1fa601e97bb98711d35f4c8.jpg,train
MS-0064,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/0e/b2/16eac97f6b21e83330bb29f9c9068750b3ce.jpg,train
MS-0065,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/98/13/9be7c5d037ee382731825cc3362644778d6e.jpg,train
MS-0066,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/52/b6/ae6c5bb0dc0b7c47e2ac39e03b67aeb7b812.jpg,train
MS-0067,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/f8/79/d2e1bd24072f0e66bc5ef80f113c47bc1662.jpg,train
MS-0068,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/43/12/875f8eb803a553fefb81b3b22d48ab4ed5e0.jpg,train
MS-0069,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/3c/73/f08daf084c69367d2bfa521efd1eb4ccdc70.jpg,train
MS-0070,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/e3/5f/144df37d3ab8e713cb5de7223eeb651039bd.jpg,test
MS-0071,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/ca/8e/57ea738e0029b2499974e0955e24ab767542.jpg,train
MS-0072,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/90/c9/f03052b54a9fa88e576ab3b3cf7e6b27adce.jpg,test
MS-0073,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/d9/a0/beaa3ccac984bbb53dee73e2eb089754825f.jpg,train
MS-0074,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/a8/33/04d8df1debff6dc0fbec271471f2c16cb3f8.jpg,train
MS-0075,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/b1/8d/d8736c3e3ef243ebe924933d83abcc49ec47.jpg,train
MS-0076,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/4c/ba/f1dbb0686553130e2692ec53447b688e4f3c.jpg,train
MS-0077,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/f2/9b/7f0b75f915d7d9c09a7a115226a6bda12ef2.jpg,train
MS-0078,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/f5/5a/39c371e6e870de9468b5dc48b23227574772.jpg,train
MS-0079,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/3c/3d/9e7aec83077d2c9df469ffcb79e238a73b3e.jpg,test
MS-0080,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/4c/d0/d1e7112869f3b50b3028a4437832b02f556d.jpg,train
MS-0081,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/b4/7f/fe6a1cc71926354f423a4ce2d1098d12edde.jpg,train
MS-0082,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/11/83/1be2d2bfe8b2ef37e5d1832c5bb469c7d8fb.jpg,train
MS-0083,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/6b/4a/d910915d7f5dee80e2515fc7f18d1806935f.jpg,test
MS-0084,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/42/61/f94b27541eb5408cc3266d0a7a57b832d9f6.jpg,train
MS-0085,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/74/e5/d268785b818335b679a45bb0d012c65fd8a0.jpg,train
MS-0086,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/c3/ef/68752347c44c636a5db6160caae8d16f6e25.jpg,test
MS-0087,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/63/ae/ab08e6f6c224746225bd152dec99c3ab0366.jpg,train
MS-0088,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/8c/e8/f651a1289dd656bcd7238d14fbd4adb739b5.jpg,train
MS-0089,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/a3/ea/62be231d16831e9b1fb3cdbeac7f273cec14.jpg,train
MS-0090,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/e8/c4/35716d3a16bbfed7ed8f98bf449de78d2540.jpg,train
MS-0091,皇家,店招/外立面广告,https://static.51dh.com.cn/meisu/5d/4d/131940dce2cf6d2f6c8749e58f3c848188da.jpg,train
MS-0092,皇家,吊旗,https://static.51dh.com.cn/meisu/c2/49/643897953b3bd1eeed678dca7232bbaca69c.jpg,train
MS-0093,皇家,吊旗,https://static.51dh.com.cn/meisu/0c/ee/0ea1871e7fc3deae06566a2b49581e81ebf1.jpg,train
MS-0094,皇家,吊旗,https://static.51dh.com.cn/meisu/00/72/00af31dd93d432143b6b8bd1ad9c6c4a4747.jpg,test
MS-0095,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/33/22/ddd89cfdf5008a3a0f609d114d95f7d9bec9.jpg,test
MS-0096,旺玥,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/b6/df/27dc8b3cf8a6fde639e69ac80779e1e38016.jpg,train
MS-0097,旺玥,灯箱,https://static.51dh.com.cn/meisu/70/c0/c18d83559cef8b6b15705a7070159434c677.jpg,train
MS-0098,旺玥,灯箱,https://static.51dh.com.cn/meisu/b8/92/2a7913f0a03d66c0f9156883eaa3f7f36105.jpg,train
MS-0099,旺玥,灯箱,https://static.51dh.com.cn/meisu/7a/59/ae4c4bc9e732c98c6c82d6bd198baf2c252c.jpg,train
MS-0100,旺玥,灯箱,https://static.51dh.com.cn/meisu/ea/75/993c2eef15acd7297c3dc2430b7890a5b3b8.jpg,train
MS-0101,旺玥,灯箱,https://static.51dh.com.cn/meisu/b6/96/037dcc7cec9b72519bed83a397c66d86d5d9.jpg,train
MS-0102,旺玥,灯箱,https://static.51dh.com.cn/meisu/39/50/95e82a885cb281eb804df174fe2867e3cf1a.jpg,test
MS-0103,旺玥,灯箱,https://static.51dh.com.cn/meisu/8c/7e/62ab5ff6bc11226b3a234d31095059a172ed.jpg,train
MS-0104,旺玥,灯箱,https://static.51dh.com.cn/meisu/8e/3a/60022b3df8e6c91c0f1434cef471e6d6f52c.jpg,train
MS-0105,旺玥,灯箱,https://static.51dh.com.cn/meisu/65/fe/2af9a294d5fafa4d860835e88839cf86050a.jpg,test
MS-0106,源悦,包柱画面,https://static.51dh.com.cn/meisu/85/29/7fd6058d2167a8431d4a4049e3c8df6c8d0c.jpg,train
MS-0107,源悦,包柱画面,https://static.51dh.com.cn/meisu/f2/2b/d1d2371f4a2e94fef1768a34765a6a48659d.jpg,train
MS-0108,源悦,包柱画面,https://static.51dh.com.cn/meisu/fd/3c/551f2eca431dc988fff0a2afdf1fa14f39ed.jpg,train
MS-0109,源悦,包柱画面,https://static.51dh.com.cn/meisu/85/39/a32cc104e39253e63b224332722f7d9c9298.jpg,test
MS-0110,源悦,包柱画面,https://static.51dh.com.cn/meisu/5f/68/234f5e7345fecc7f3a50b2d9c6b58c7ef718.jpg,train
MS-0111,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/9f/d0/225c23eb160239040a7b90e7f367e7742dcf.jpg,train
MS-0112,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/70/66/255de750e3ee1ed1c9939210c2ecef2cf60c.jpg,test
MS-0113,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/bb/3c/080379da0ff2a5929ba91fecfe20aba94f89.jpg,train
MS-0114,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/f9/8a/49ab6aac6bca60cf8272a76e9723f28c4837.jpg,test
MS-0115,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/ff/e0/b8e9dc7e7784125ebe3fb6de99de36ccebaf.jpg,train
MS-0116,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/3e/ee/fb6a616766228fa0f8b7db1ea28b1229a31c.jpg,train
MS-0117,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/85/eb/7bcc10bdd91568dcc58363b808334bbbfe1a.jpg,train
MS-0118,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/36/4c/1ad33fd716907162dbd91aa0b23fa1e6e34b.jpg,train
MS-0119,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/18/0e/53d76318c965b124eb2a38ebeb02846d2536.jpg,test
MS-0120,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/33/dc/fd14a97aff5224910d3b7f9c8bc99fe6f297.jpg,train
MS-0121,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/b3/6b/2d8daffd767ef216fcbfa4016260aba4d3e9.jpg,train
MS-0122,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/d8/3b/a94e8b6033fd145609de1c05d836cc0703ee.jpg,train
MS-0123,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/f7/f0/8dc1aa52abb484d118a00290de9e9f779902.jpg,train
MS-0124,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/31/0b/7a6340612767ec8138ded602093b7d517a80.jpg,train
MS-0125,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/d3/6b/b6f053a38e81a801a9f7e3731a644946f285.jpg,train
MS-0126,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/d0/11/6a8c9cee9f64cc80cf4c1516db2dfdeb3b4c.jpg,train
MS-0127,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/6a/a2/6fd4f0b9f666261cdb274aa0486382dd51fa.jpg,train
MS-0128,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/5a/bc/8402848cce0f793306e55e105684e143b55b.jpg,train
MS-0129,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/03/1b/03e058bf706e06d752890110eb224f87f31e.jpg,train
MS-0130,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/bd/c4/226d4e0becb0fe26905952fd200b48c65478.jpg,test
MS-0131,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/16/c1/d428bbb26416d53c258a9faedb8d2d79ff4b.jpg,test
MS-0132,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/65/33/c4a1168777ab257258949ee9746c41d100ce.jpg,train
MS-0133,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/49/d4/6f0ce1d01e86f9085a1ffd11eeca711ae234.jpg,train
MS-0134,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/7a/a5/60e584d02491572ebb6e12a7975e75a8cfc4.jpg,train
MS-0135,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/f8/55/c8ab9df6817254fb2bfae8954b6b188cfb92.jpg,train
MS-0136,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/2a/8c/99e2736e4cba128255624f71aca72b705f0a.jpg,train
MS-0137,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/1f/80/1cb558ce18603e888f3d33c821ec2c396c29.jpg,test
MS-0138,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/a6/0c/2ac493927fc21b7ef16b165fc297a4b6eca1.jpg,train
MS-0139,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/30/0d/bcafbd51282e973c8a4c982153067889c9cb.jpg,train
MS-0140,源悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/60/60/c09bcd0956c9f2316d69e49f269ab7478a1d.jpg,train
MS-0141,源悦,灯箱,https://static.51dh.com.cn/meisu/a0/2a/bb915d16d039289ca163bae84fdc8873e7fd.jpg,train
MS-0142,源悦,灯箱,https://static.51dh.com.cn/meisu/38/8f/baa6e18c419d5d2837f97aa8947ba58610a1.jpg,train
MS-0143,源悦,灯箱,https://static.51dh.com.cn/meisu/74/42/b72e74d82302945fc76876943ab832b3cee5.jpg,train
MS-0144,源悦,灯箱,https://static.51dh.com.cn/meisu/3e/37/5648eec7d26ff1df18fa1c2ac01ed4515129.jpg,train
MS-0145,源悦,灯箱,https://static.51dh.com.cn/meisu/cb/97/e0c009d3bae7c7375dde134d893f9075e90e.jpg,train
MS-0146,源悦,灯箱,https://static.51dh.com.cn/meisu/dd/f2/2795dd790f91752d4d7465078453ab63032b.jpg,train
MS-0147,源悦,灯箱,https://static.51dh.com.cn/meisu/93/74/30e6fe5d1f8620b871d8b445550b3e10d6e3.jpg,train
MS-0148,源悦,灯箱,https://static.51dh.com.cn/meisu/4f/3f/62ffc1f0be15df59db1523aba873736014aa.jpg,train
MS-0149,源悦,灯箱,https://static.51dh.com.cn/meisu/2a/8d/f83cd3ee797ca81975ddc514c0a8f7d1e84e.jpg,train
MS-0150,源悦,灯箱,https://static.51dh.com.cn/meisu/5d/e1/486a6e9f003600bad4189fab4c8dfaa98d7a.jpg,test
MS-0151,源悦,灯箱,https://static.51dh.com.cn/meisu/9d/53/c702453f05fabaab7ce17dd202ea33df3297.jpg,train
MS-0152,源悦,灯箱,https://static.51dh.com.cn/meisu/ab/82/2dfd60322e9304e501b2f0939e80b8d5963b.jpg,test
MS-0153,源悦,灯箱,https://static.51dh.com.cn/meisu/55/53/351ce9bfde436de70ff635a841fdee9be7af.jpg,train
MS-0154,源悦,灯箱,https://static.51dh.com.cn/meisu/b2/a4/3654d5d81097183f9e9a30a2e28a0389e76f.jpg,train
MS-0155,源悦,灯箱,https://static.51dh.com.cn/meisu/7e/b7/029133b9cc49b699afb75b7b49f9e61329a7.jpg,train
MS-0156,源悦,灯箱,https://static.51dh.com.cn/meisu/9b/cf/051c85b93b890b95a7f8019dd2b0ded436a0.jpg,train
MS-0157,源悦,灯箱,https://static.51dh.com.cn/meisu/c9/82/2a67b24b4445588aa1311dd9bc282cdd8aef.jpg,train
MS-0158,源悦,灯箱,https://static.51dh.com.cn/meisu/a9/57/73a7522fa4813ab7b17ebb5d2e4fe898211d.jpg,test
MS-0159,源悦,灯箱,https://static.51dh.com.cn/meisu/22/93/ababdc7fdbf8d0bb2338145f4551bbdeb017.jpg,test
MS-0160,源悦,灯箱,https://static.51dh.com.cn/meisu/d7/75/fd178ed8317bc579d912baa82a391b31f3e0.jpg,train
MS-0161,源悦,灯箱,https://static.51dh.com.cn/meisu/ab/86/344a92ab186c30375ae16e3a9a661ebba86c.jpg,train
MS-0162,源悦,灯箱,https://static.51dh.com.cn/meisu/69/41/8c31aad37fada9724c20b50943e55912f814.jpg,train
MS-0163,源悦,灯箱,https://static.51dh.com.cn/meisu/cb/b3/21094f6c58f1f952cb1d401762050623fa21.jpg,train
MS-0164,源悦,灯箱,https://static.51dh.com.cn/meisu/76/e9/39931a8c1443f8c686653cafeee6c789b8ab.jpg,test
MS-0165,源悦,灯箱,https://static.51dh.com.cn/meisu/9a/92/502439cd4d46b9b2c2310a3bc61618f24b05.jpg,train
MS-0166,源悦,灯箱,https://static.51dh.com.cn/meisu/b8/46/e5d730f10da1b8cc6850eaf9cf7bbf0cc8f9.jpg,test
MS-0167,源悦,灯箱,https://static.51dh.com.cn/meisu/62/f3/e6290f52371a77d8f50dd7c72b1a973d1c26.jpg,train
MS-0168,源悦,灯箱,https://static.51dh.com.cn/meisu/39/72/5cd710db5a8760e2c20c314e8eedbfe6140b.jpg,train
MS-0169,源悦,灯箱,https://static.51dh.com.cn/meisu/e7/6b/ee37fff5e9a9c60fc70679f25f70d5a09343.jpg,train
MS-0170,源悦,灯箱,https://static.51dh.com.cn/meisu/3a/a6/ff1a5685d960f26d8184c78b9abe3261a5f9.jpg,train
MS-0171,源悦,灯箱,https://static.51dh.com.cn/meisu/be/bb/351088ee775cad35074b4c8b22d08e9a176d.jpg,train
MS-0172,源悦,灯箱,https://static.51dh.com.cn/meisu/b1/08/836c827218c8ee322968297c409e3bcb8843.jpg,test
MS-0173,源悦,灯箱,https://static.51dh.com.cn/meisu/6e/97/6421d2f6b70b6a35cbe796d0b2ef038e81b8.jpg,train
MS-0174,源悦,灯箱,https://static.51dh.com.cn/meisu/b5/01/c599fc85c27fba999aeb0b603716d7080aa0.jpg,train
MS-0175,源悦,灯箱,https://static.51dh.com.cn/meisu/b4/28/9da1a3395b7fd2864596e69785b5fe05b884.jpg,train
MS-0176,源悦,灯箱,https://static.51dh.com.cn/meisu/2a/fb/449f97d629087974c8ae371f57eda6958caf.jpg,train
MS-0177,源悦,灯箱,https://static.51dh.com.cn/meisu/fe/ed/1d009fc6285d07a4be99598c8f1d397e45b5.jpg,train
MS-0178,源悦,店招/外立面广告,https://static.51dh.com.cn/meisu/59/42/8ff26b66043f0459e43cecab217adfe351ef.jpg,train
MS-0179,源悦,店招/外立面广告,https://static.51dh.com.cn/meisu/8c/d0/49cbf4b58451f9b1a44227fbc6048978a58b.jpg,test
MS-0180,源悦,店招/外立面广告,https://static.51dh.com.cn/meisu/2c/18/2c1d785c461f02589db8d16ac4cb4c51aa06.jpg,train
MS-0181,源悦,吊旗,https://static.51dh.com.cn/meisu/f1/01/99736e9762729982eea41779299aa648b446.jpg,train
MS-0182,尊悦,包柱画面,https://static.51dh.com.cn/meisu/63/17/2276e889dd28fb8a19bf5b38bf0159820feb.jpg,train
MS-0183,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/99/dd/0ae99bb8b2893939944a0337b70415e40a87.jpg,train
MS-0184,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/6c/92/283197bdeed5429f3d9bbee78a4740fbca42.jpg,train
MS-0185,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/f2/3e/df3645bb6b7e53d883d76840cf24f98016cf.jpg,train
MS-0186,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/92/e3/f32bdf7b907ec7c3e41fb8ce4f47f48b1972.jpg,test
MS-0187,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/71/54/50eaef2e87e74f65977da562e7b74153d72d.jpg,train
MS-0188,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/ca/e9/6293662905294e8b4c82c7dd569aaa8f982f.jpg,train
MS-0189,尊悦,橱窗单透/墙贴,https://static.51dh.com.cn/meisu/50/8c/b7a819a3af86987741c985fd99943fe0730c.jpg,train
MS-0190,尊悦,灯箱,https://static.51dh.com.cn/meisu/f7/cf/6a6a859f50b7a4d9715c48c75f7714415b4d.jpg,train
MS-0191,尊悦,灯箱,https://static.51dh.com.cn/meisu/a6/4f/4b316fcfc0d2ed71af10ab60bc461c194a09.jpg,train
MS-0192,尊悦,灯箱,https://static.51dh.com.cn/meisu/48/d8/32899171cf74129455ba200371f75a133646.jpg,train
MS-0193,尊悦,灯箱,https://static.51dh.com.cn/meisu/4f/db/9ce241a590742e490f62aefc47d819cfce26.jpg,train
MS-0194,尊悦,灯箱,https://static.51dh.com.cn/meisu/5e/45/a965518f98bdd88353f27dcffa3e35b7c01e.jpg,test
MS-0195,尊悦,灯箱,https://static.51dh.com.cn/meisu/31/e8/109eb933368f8605a340b3d6da932050ad32.jpg,test
MS-0196,尊悦,灯箱,https://static.51dh.com.cn/meisu/07/6b/826019669c6dcc06390c868870bf35d7ed5a.jpg,train
MS-0197,尊悦,灯箱,https://static.51dh.com.cn/meisu/78/64/ddf79a22296d48b4278845424b4fc37741fc.jpg,train
